Geography,year,MWSTEMTotalDiffpercent,GMathDiff,D_biepMale_Science_all,GEOID
Alabama,2018,2.396586726,46,0.340466965,1
Alaska,2018,2.17735577,38,0.299120116,2
Arizona,2018,2.761608897,35,0.308253474,4
Arkansas,2018,1.687926069,29,0.359917431,5
California,2018,3.125598154,29,0.298864441,6
Colorado,2018,4.150183774,10,0.309833448,8
Connecticut,2018,3.528762169,7,0.308969836,9
Delaware,2018,2.129382354,6,0.301901892,10
District of Columbia,2018,2.684626339,16,0.307371983,11
Florida,2018,2.047018075,10,0.292602116,12
Georgia,2018,2.312520492,25,0.284456082,13
Hawaii,2018,2.22958066,20,0.251234817,15
Idaho,2018,2.608198496,8,0.343216939,16
Illinois,2018,2.748815077,10,0.307294332,17
Indiana,2018,2.762478245,29,0.314690625,18
Iowa,2018,2.508910356,37,0.287551551,19
Kansas,2018,2.809385012,43,0.354938675,20
Kentucky,2018,1.948383676,49,0.314886535,21
Louisiana,2018,1.872326855,51,0.285584678,22
Maine,2018,2.055413897,5,0.303349802,23
Maryland,2018,3.74653362,21,0.293633311,24
Massachusetts,2018,3.977275353,26,0.304267642,25
Michigan,2018,3.190261464,9,0.316838785,26
Minnesota,2018,3.299130551,44,0.328902324,27
Mississippi,2018,1.530952234,57,0.289625786,28
Missouri,2018,2.665637121,45,0.287882448,29
Montana,2018,1.634395315,38,0.323158598,30
Nebraska,2018,2.780677218,40,0.297282127,31
Nevada,2018,2.001907284,43,0.321366711,32
New Hampshire,2018,4.356556305,10,0.355193459,33
New Jersey,2018,3.517884421,22,0.328285362,34
New Mexico,2018,2.281727733,30,0.275532429,35
New York,2018,2.406659993,16,0.30719372,36
North Carolina,2018,2.537310646,26,0.314720109,37
North Dakota,2018,1.759540735,33,0.35261004,38
Ohio,2018,2.786452692,23,0.317693119,39
Oklahoma,2018,2.260005705,126,0.307110736,40
Oregon,2018,3.335173141,37,0.307854866,41
Pennsylvania,2018,2.760623438,28,0.306780953,42
Puerto Rico,2018,0.775296223,20,0.251051308,72
Rhode Island,2018,2.2214511,16,0.321052126,44
South Carolina,2018,2.297364929,26,0.320554625,45
South Dakota,2018,1.974347585,51,0.335961589,46
Tennessee,2018,2.202068939,32,0.301728081,47
Texas,2018,2.808294974,18,0.29440157,48
Utah,2018,3.869152099,48,0.368147358,49
Vermont,2018,2.834300082,29,0.310652157,50
Virginia,2018,3.936328735,28,0.305230095,51
Washington,2018,4.460098429,22,0.295620064,53
West Virginia,2018,1.732560488,18,0.352019334,54
Wisconsin,2018,2.799308772,35,0.317469116,55
Wyoming,2018,2.191423094,40,0.30663249,56
American Samoa,2018,0,0,0,60
United States Virgin Islands,2018,0,0,0,78
Guam,2018,0,0,0,66
Commonwealth of the Northern Mariana Islands,2018,0,0,0,69
